Dimension,Num_Dimensions,Mean_ARI_Including_D,Mean_ARI_Excluding_D,MeanDiff,P_value
pdi,1,0.22707625019220584,0.14310901780067617,0.08396723239152967,0.02
pdi,2,0.24601266766120594,0.25065466577226897,-0.004641998111063028,0.02
pdi,3,0.353396438933947,0.37651468851149683,-0.02311824957754982,0.02
pdi,4,0.456039911211659,0.5063934622070219,-0.05035355099536287,0.02
pdi,5,0.5899464851099736,0.659698168328645,-0.06975168321867142,0.02
idv,1,0.19288746449750382,0.14994677493961658,0.04294068955788724,0.02
idv,2,0.2612885460675853,0.2430167265690793,0.01827181949850598,0.02
idv,3,0.39615290390720864,0.33375822353823525,0.06239468036897339,0.02
idv,4,0.4788668737470779,0.46073953713618393,0.018127336610893996,0.02
idv,5,0.5936351178430058,0.641255004663484,-0.04761988682047813,0.02
mas,1,0.047300706357214936,0.17906412656767437,-0.13176342021045945,0.04
mas,2,0.16657764988671814,0.29037217465951287,-0.12379452477279473,0.02
mas,3,0.2896612789456695,0.4402498484997744,-0.15058856955410488,0.02
mas,4,0.4343583862171262,0.5497565121960875,-0.11539812597896126,0.02
mas,5,0.553370739749304,0.8425768951319932,-0.28920615538268923,0.02
uai,1,0.11791537155415145,0.16494119352828707,-0.047025821974135615,0.02
uai,2,0.2761622521030719,0.23557987355133597,0.04058237855173591,0.02
uai,3,0.3950818552726466,0.33482927217279723,0.06025258309984938,0.02
uai,4,0.4867052417719157,0.4450628010865085,0.041642440685407234,0.02
uai,5,0.6137592212529324,0.5406344876138514,0.07312473363908101,0.02
lto,1,0.1539132690357724,0.15774161403196288,-0.0038283449961904747,0.02
lto,2,0.253273729258729,0.24702413497350745,0.006249594285221538,0.02
lto,3,0.3551641067240209,0.374747020721423,-0.01958291399740214,0.02
lto,4,0.4835087935052971,0.4514556976197457,0.032053095885551386,0.02
lto,5,0.6079807904504907,0.5695266416260596,0.0384541488244311,0.02
ivr,1,0.20352827755873826,0.1478186123273697,0.055709665231368555,0.02
ivr,2,0.2913291534341774,0.22799642288578323,0.0633327305483942,0.02
ivr,3,0.40027679855283893,0.3296343288926049,0.07064246966023402,0.02
ivr,4,0.49746736280760384,0.42353855901513227,0.07392880379247158,0.02
ivr,5,0.6507382394728066,0.35573939651448017,0.29499884295832646,0.02
