Dimension,Num_Dimensions,Mean_ARI_Including_D,Mean_ARI_Excluding_D,MeanDiff,P_value
pdi,1,0.0,0.7333333333333333,-0.7333333333333333,1.0
pdi,2,0.06666666666666668,0.5666666666666667,-0.5,1.0
pdi,3,0.5333333333333334,0.9,-0.3666666666666666,0.22
pdi,4,0.5,1.0,-0.5,0.61
pdi,5,1.0,1.0,0.0,0.22
idv,1,1.0,0.5333333333333334,0.46666666666666656,0.22
idv,2,0.6,0.3,0.3,0.22
idv,3,0.9,0.5333333333333334,0.3666666666666666,0.22
idv,4,0.8,0.4,0.4,0.22
idv,5,1.0,1.0,0.0,0.22
mas,1,1.0,0.5333333333333334,0.46666666666666656,0.22
mas,2,0.4666666666666667,0.3666666666666667,0.09999999999999998,0.22
mas,3,0.7666666666666667,0.6666666666666667,0.09999999999999998,0.22
mas,4,0.7,0.6,0.09999999999999998,0.22
mas,5,1.0,1.0,0.0,0.22
uai,1,1.0,0.5333333333333334,0.46666666666666656,0.22
uai,2,0.6,0.3,0.3,0.22
uai,3,0.8,0.6333333333333334,0.16666666666666663,0.22
uai,4,0.7,0.6,0.09999999999999998,0.22
uai,5,1.0,1.0,0.0,0.22
lto,1,-0.3333333333333333,0.8,-1.1333333333333333,1.0
lto,2,-0.13333333333333333,0.6666666666666667,-0.8,1.0
lto,3,0.4333333333333334,1.0,-0.5666666666666667,0.61
lto,4,0.5,1.0,-0.5,0.61
lto,5,1.0,1.0,0.0,0.22
ivr,1,1.0,0.5333333333333333,0.4666666666666667,0.22
ivr,2,0.8,0.2,0.6000000000000001,0.22
ivr,3,0.8666666666666668,0.5666666666666667,0.30000000000000016,0.22
ivr,4,0.8,0.4,0.4,0.22
ivr,5,1.0,1.0,0.0,0.22
