Dimensions,Num_Dimensions,Observed_ARI,P_value
pdi,1,0.22707625019220584,0.02
idv,1,0.19288746449750382,0.02
mas,1,0.047300706357214936,0.04
uai,1,0.11791537155415145,0.02
lto,1,0.1539132690357724,0.02
ivr,1,0.20352827755873826,0.02
"pdi,idv",2,0.19581081365270972,0.02
"pdi,mas",2,0.20927004689701584,0.02
"pdi,uai",2,0.22967303192793845,0.02
"pdi,lto",2,0.270420354840396,0.02
"pdi,ivr",2,0.3248890909879699,0.02
"idv,mas",2,0.1676451200124084,0.02
"idv,uai",2,0.29423153077836933,0.02
"idv,lto",2,0.3269603792458574,0.02
"idv,ivr",2,0.32179488664858164,0.02
"mas,uai",2,0.18584279064902462,0.02
"mas,lto",2,0.11040802138772518,0.02
"mas,ivr",2,0.1597222704874167,0.02
"uai,lto",2,0.2897021394663873,0.02
"uai,ivr",2,0.3813617676936398,0.02
"lto,ivr",2,0.2688777513532792,0.02
"pdi,idv,mas",3,0.22979481427723164,0.02
"pdi,idv,uai",3,0.3816106503630557,0.02
"pdi,idv,lto",3,0.3479796067519614,0.02
"pdi,idv,ivr",3,0.4675489065862576,0.02
"pdi,mas,uai",3,0.2865113732866377,0.02
"pdi,mas,lto",3,0.20525727512703232,0.02
"pdi,mas,ivr",3,0.2711188152841495,0.02
"pdi,uai,lto",3,0.4393696201566243,0.02
"pdi,uai,ivr",3,0.5113439233785093,0.02
"pdi,lto,ivr",3,0.39342940412801086,0.02
"idv,mas,uai",3,0.38386842512942476,0.02
"idv,mas,lto",3,0.2898726002843988,0.02
"idv,mas,ivr",3,0.38578431779158406,0.02
"idv,uai,lto",3,0.4588692107978387,0.02
"idv,uai,ivr",3,0.4561782005289528,0.02
"idv,lto,ivr",3,0.5600223065613806,0.02
"mas,uai,lto",3,0.2732097127518435,0.02
"mas,uai,ivr",3,0.3737107805884269,0.02
"mas,lto,ivr",3,0.1974846749359657,0.02
"uai,lto,ivr",3,0.38614665574515245,0.02
"pdi,idv,mas,uai",4,0.39014335657631516,0.02
"pdi,idv,mas,lto",4,0.4649076273727426,0.02
"pdi,idv,mas,ivr",4,0.3317289009183444,0.02
"pdi,idv,uai,lto",4,0.4659487024044076,0.02
"pdi,idv,uai,ivr",4,0.5842988747745156,0.02
"pdi,idv,lto,ivr",4,0.5636328761868227,0.02
"pdi,mas,uai,lto",4,0.4367429225538603,0.02
"pdi,mas,uai,ivr",4,0.41789289925581347,0.02
"pdi,mas,lto,ivr",4,0.4214404104893377,0.02
"pdi,uai,lto,ivr",4,0.4836625415844302,0.02
"idv,mas,uai,lto",4,0.3599501861683353,0.02
"idv,mas,uai,ivr",4,0.5332144565737398,0.02
"idv,mas,lto,ivr",4,0.4436041904652951,0.02
"idv,uai,lto,ivr",4,0.6512395660302611,0.02
"mas,uai,lto,ivr",4,0.543958911797478,0.02
"pdi,idv,mas,uai,lto",5,0.35573939651448017,0.02
"pdi,idv,mas,uai,ivr",5,0.5695266416260596,0.02
"pdi,idv,mas,lto,ivr",5,0.5406344876138514,0.02
"pdi,idv,uai,lto,ivr",5,0.8425768951319932,0.02
"pdi,mas,uai,lto,ivr",5,0.641255004663484,0.02
"idv,mas,uai,lto,ivr",5,0.659698168328645,0.02
