question_idx,instruction,question_text,options,labels,options_labeled,variation,label_to_scale,mean_weights
8,"Your task is to carefully evaluate the question and options provided by the user and respond only with the most appropriate option's identifier (e.g., a letter like 'A', or a number like '1'). Do not explain your reasoning, add any additional text, or provide context. Only respond with the choice's identifier.","As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.","['Completely disagree', 'Mostly disagree', 'Mostly agree', 'Completely agree']","['1.', '2.', '3.', '4.']","['1. Completely disagree', '2. Mostly disagree', '3. Mostly agree', '4. Completely agree']","{'choice_format': 'numbers', 'direction_format': 'ascending', 'response_format': 'identifier_only'}","{'1': 1, '2': 2, '3': 3, '4': 4}","{'Brazil': 0.6464646464646464, 'France': 0.6296296296296297, 'Germany': 0.6666666666666667, 'India': 0.6464646464646464, 'Indonesia': 0.42087542087542085, 'Japan': 0.45238095238095244, 'Jordan': 0.4727891156462585, 'Lebanon': 0.5223367697594502, 'Mexico': 0.608843537414966, 'Nigeria': 0.5850340136054422, 'Pakistan': 0.7813620071684588, 'Poland': 0.5204081632653061, 'Russia': 0.43617021276595747, 'Turkey': 0.5780141843971631, 'United States': 0.6258503401360543}"
8,"Your task is to carefully evaluate the question and options provided by the user and respond only with the full text of the most appropriate option. Do not explain your reasoning, add any additional text, or provide context. Only respond with the chosen option's text.","As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.","['Completely disagree', 'Mostly disagree', 'Mostly agree', 'Completely agree']","['1.', '2.', '3.', '4.']","['1. Completely disagree', '2. Mostly disagree', '3. Mostly agree', '4. Completely agree']","{'choice_format': 'numbers', 'direction_format': 'ascending', 'response_format': 'option_text'}","{'1': 1, '2': 2, '3': 3, '4': 4}","{'Brazil': 0.6464646464646464, 'France': 0.6296296296296297, 'Germany': 0.6666666666666667, 'India': 0.6464646464646464, 'Indonesia': 0.42087542087542085, 'Japan': 0.45238095238095244, 'Jordan': 0.4727891156462585, 'Lebanon': 0.5223367697594502, 'Mexico': 0.608843537414966, 'Nigeria': 0.5850340136054422, 'Pakistan': 0.7813620071684588, 'Poland': 0.5204081632653061, 'Russia': 0.43617021276595747, 'Turkey': 0.5780141843971631, 'United States': 0.6258503401360543}"
8,"Your task is to carefully evaluate the question and options provided by the user and respond only with the most appropriate option's identifier (e.g., a letter like 'A', or a number like '1'). Do not explain your reasoning, add any additional text, or provide context. Only respond with the choice's identifier.","As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.","['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree']","['1.', '2.', '3.', '4.']","['1. Completely agree', '2. Mostly agree', '3. Mostly disagree', '4. Completely disagree']","{'choice_format': 'numbers', 'direction_format': 'descending', 'response_format': 'identifier_only'}","{'1': 4, '2': 3, '3': 2, '4': 1}","{'Brazil': 0.6464646464646464, 'France': 0.6296296296296297, 'Germany': 0.6666666666666667, 'India': 0.6464646464646464, 'Indonesia': 0.42087542087542085, 'Japan': 0.45238095238095244, 'Jordan': 0.4727891156462585, 'Lebanon': 0.5223367697594502, 'Mexico': 0.608843537414966, 'Nigeria': 0.5850340136054422, 'Pakistan': 0.7813620071684588, 'Poland': 0.5204081632653061, 'Russia': 0.43617021276595747, 'Turkey': 0.5780141843971631, 'United States': 0.6258503401360543}"
8,"Your task is to carefully evaluate the question and options provided by the user and respond only with the full text of the most appropriate option. Do not explain your reasoning, add any additional text, or provide context. Only respond with the chosen option's text.","As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.","['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree']","['1.', '2.', '3.', '4.']","['1. Completely agree', '2. Mostly agree', '3. Mostly disagree', '4. Completely disagree']","{'choice_format': 'numbers', 'direction_format': 'descending', 'response_format': 'option_text'}","{'1': 4, '2': 3, '3': 2, '4': 1}","{'Brazil': 0.6464646464646464, 'France': 0.6296296296296297, 'Germany': 0.6666666666666667, 'India': 0.6464646464646464, 'Indonesia': 0.42087542087542085, 'Japan': 0.45238095238095244, 'Jordan': 0.4727891156462585, 'Lebanon': 0.5223367697594502, 'Mexico': 0.608843537414966, 'Nigeria': 0.5850340136054422, 'Pakistan': 0.7813620071684588, 'Poland': 0.5204081632653061, 'Russia': 0.43617021276595747, 'Turkey': 0.5780141843971631, 'United States': 0.6258503401360543}"
8,"Your task is to carefully evaluate the question and options provided by the user and respond only with the most appropriate option's identifier (e.g., a letter like 'A', or a number like '1'). Do not explain your reasoning, add any additional text, or provide context. Only respond with the choice's identifier.","As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.","['Completely disagree', 'Mostly disagree', 'Mostly agree', 'Completely agree']","['A.', 'B.', 'C.', 'D.']","['A. Completely disagree', 'B. Mostly disagree', 'C. Mostly agree', 'D. Completely agree']","{'choice_format': 'letters', 'direction_format': 'ascending', 'response_format': 'identifier_only'}","{'A': 1, 'B': 2, 'C': 3, 'D': 4}","{'Brazil': 0.6464646464646464, 'France': 0.6296296296296297, 'Germany': 0.6666666666666667, 'India': 0.6464646464646464, 'Indonesia': 0.42087542087542085, 'Japan': 0.45238095238095244, 'Jordan': 0.4727891156462585, 'Lebanon': 0.5223367697594502, 'Mexico': 0.608843537414966, 'Nigeria': 0.5850340136054422, 'Pakistan': 0.7813620071684588, 'Poland': 0.5204081632653061, 'Russia': 0.43617021276595747, 'Turkey': 0.5780141843971631, 'United States': 0.6258503401360543}"
8,"Your task is to carefully evaluate the question and options provided by the user and respond only with the full text of the most appropriate option. Do not explain your reasoning, add any additional text, or provide context. Only respond with the chosen option's text.","As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.","['Completely disagree', 'Mostly disagree', 'Mostly agree', 'Completely agree']","['A.', 'B.', 'C.', 'D.']","['A. Completely disagree', 'B. Mostly disagree', 'C. Mostly agree', 'D. Completely agree']","{'choice_format': 'letters', 'direction_format': 'ascending', 'response_format': 'option_text'}","{'A': 1, 'B': 2, 'C': 3, 'D': 4}","{'Brazil': 0.6464646464646464, 'France': 0.6296296296296297, 'Germany': 0.6666666666666667, 'India': 0.6464646464646464, 'Indonesia': 0.42087542087542085, 'Japan': 0.45238095238095244, 'Jordan': 0.4727891156462585, 'Lebanon': 0.5223367697594502, 'Mexico': 0.608843537414966, 'Nigeria': 0.5850340136054422, 'Pakistan': 0.7813620071684588, 'Poland': 0.5204081632653061, 'Russia': 0.43617021276595747, 'Turkey': 0.5780141843971631, 'United States': 0.6258503401360543}"
8,"Your task is to carefully evaluate the question and options provided by the user and respond only with the most appropriate option's identifier (e.g., a letter like 'A', or a number like '1'). Do not explain your reasoning, add any additional text, or provide context. Only respond with the choice's identifier.","As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.","['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree']","['A.', 'B.', 'C.', 'D.']","['A. Completely agree', 'B. Mostly agree', 'C. Mostly disagree', 'D. Completely disagree']","{'choice_format': 'letters', 'direction_format': 'descending', 'response_format': 'identifier_only'}","{'A': 4, 'B': 3, 'C': 2, 'D': 1}","{'Brazil': 0.6464646464646464, 'France': 0.6296296296296297, 'Germany': 0.6666666666666667, 'India': 0.6464646464646464, 'Indonesia': 0.42087542087542085, 'Japan': 0.45238095238095244, 'Jordan': 0.4727891156462585, 'Lebanon': 0.5223367697594502, 'Mexico': 0.608843537414966, 'Nigeria': 0.5850340136054422, 'Pakistan': 0.7813620071684588, 'Poland': 0.5204081632653061, 'Russia': 0.43617021276595747, 'Turkey': 0.5780141843971631, 'United States': 0.6258503401360543}"
8,"Your task is to carefully evaluate the question and options provided by the user and respond only with the full text of the most appropriate option. Do not explain your reasoning, add any additional text, or provide context. Only respond with the chosen option's text.","As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.","['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree']","['A.', 'B.', 'C.', 'D.']","['A. Completely agree', 'B. Mostly agree', 'C. Mostly disagree', 'D. Completely disagree']","{'choice_format': 'letters', 'direction_format': 'descending', 'response_format': 'option_text'}","{'A': 4, 'B': 3, 'C': 2, 'D': 1}","{'Brazil': 0.6464646464646464, 'France': 0.6296296296296297, 'Germany': 0.6666666666666667, 'India': 0.6464646464646464, 'Indonesia': 0.42087542087542085, 'Japan': 0.45238095238095244, 'Jordan': 0.4727891156462585, 'Lebanon': 0.5223367697594502, 'Mexico': 0.608843537414966, 'Nigeria': 0.5850340136054422, 'Pakistan': 0.7813620071684588, 'Poland': 0.5204081632653061, 'Russia': 0.43617021276595747, 'Turkey': 0.5780141843971631, 'United States': 0.6258503401360543}"
9,"Your task is to carefully evaluate the question and options provided by the user and respond only with the most appropriate option's identifier (e.g., a letter like 'A', or a number like '1'). Do not explain your reasoning, add any additional text, or provide context. Only respond with the choice's identifier.","Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries","['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all']","['1.', '2.', '3.', '4.']","['1. Very big problem', '2. Moderately big problem', '3. Small problem', '4. Not a problem at all']","{'choice_format': 'numbers', 'direction_format': 'ascending', 'response_format': 'identifier_only'}","{'1': 1, '2': 2, '3': 3, '4': 4}","{'Brazil': 0.5666666666666667, 'France': 0.5858585858585859, 'Germany': 0.2475247524752475, 'India': 0.2525252525252525, 'Indonesia': 0.5567010309278351, 'Japan': 0.6180555555555556, 'Jordan': 0.3843537414965986, 'Lebanon': 0.2356902356902357, 'Mexico': 0.3400000000000001, 'Nigeria': 0.30666666666666664, 'Pakistan': 0.17894736842105263, 'Poland': 0.37755102040816324, 'Russia': 0.5481481481481482, 'Turkey': 0.4193548387096774, 'United States': 0.6666666666666667}"
9,"Your task is to carefully evaluate the question and options provided by the user and respond only with the full text of the most appropriate option. Do not explain your reasoning, add any additional text, or provide context. Only respond with the chosen option's text.","Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries","['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all']","['1.', '2.', '3.', '4.']","['1. Very big problem', '2. Moderately big problem', '3. Small problem', '4. Not a problem at all']","{'choice_format': 'numbers', 'direction_format': 'ascending', 'response_format': 'option_text'}","{'1': 1, '2': 2, '3': 3, '4': 4}","{'Brazil': 0.5666666666666667, 'France': 0.5858585858585859, 'Germany': 0.2475247524752475, 'India': 0.2525252525252525, 'Indonesia': 0.5567010309278351, 'Japan': 0.6180555555555556, 'Jordan': 0.3843537414965986, 'Lebanon': 0.2356902356902357, 'Mexico': 0.3400000000000001, 'Nigeria': 0.30666666666666664, 'Pakistan': 0.17894736842105263, 'Poland': 0.37755102040816324, 'Russia': 0.5481481481481482, 'Turkey': 0.4193548387096774, 'United States': 0.6666666666666667}"
